route,area,role,viewport,control_type,discovered_count,expected,actual,result,evidence,source,related_tests,defect_id
"/admin/commerce/fulfillment","Admin","admin","desktop + mobile required","form","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/commerce/fulfillment/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/commerce/fulfillment","Admin","admin","desktop + mobile required","input","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/commerce/fulfillment/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/commerce/fulfillment","Admin","admin","desktop + mobile required","button","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/commerce/fulfillment/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/commerce/health","Admin","admin","desktop + mobile required","form","2","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/commerce/health/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/commerce/health","Admin","admin","desktop + mobile required","button","2","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/commerce/health/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/commerce/health","Admin","admin","desktop + mobile required","link","2","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/commerce/health/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/commerce/health","Admin","admin","desktop + mobile required","select","2","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/commerce/health/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/commerce/health","Admin","admin","desktop + mobile required","input","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/commerce/health/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/commerce/health","Admin","admin","desktop + mobile required","textarea","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/commerce/health/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/commerce/invoices","Admin","admin","desktop + mobile required","a","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/commerce/invoices/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/commerce/orders","Admin","admin","desktop + mobile required","link","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/commerce/orders/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/commerce/payments","Admin","admin","desktop + mobile required","link","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/commerce/payments/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/commerce/webhooks","Admin","admin","desktop + mobile required","link","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/commerce/webhooks/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/commerce/webhooks","Admin","admin","desktop + mobile required","form","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/commerce/webhooks/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/commerce/webhooks","Admin","admin","desktop + mobile required","input","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/commerce/webhooks/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/commerce/webhooks","Admin","admin","desktop + mobile required","button","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/commerce/webhooks/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/guidebooks/[guidebookId]","Admin","admin","desktop + mobile required","link","5","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/guidebooks/[guidebookId]/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/guidebooks/components/new","Admin","admin","desktop + mobile required","link","2","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/guidebooks/components/new/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/guidebooks/components/new","Admin","admin","desktop + mobile required","form","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/guidebooks/components/new/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/guidebooks/components/new","Admin","admin","desktop + mobile required","input","2","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/guidebooks/components/new/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/guidebooks/components/new","Admin","admin","desktop + mobile required","select","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/guidebooks/components/new/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/guidebooks/components/new","Admin","admin","desktop + mobile required","textarea","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/guidebooks/components/new/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/guidebooks/components/new","Admin","admin","desktop + mobile required","button","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/guidebooks/components/new/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/guidebooks/new","Admin","admin","desktop + mobile required","link","8","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/guidebooks/new/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/guidebooks/new","Admin","admin","desktop + mobile required","form","3","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/guidebooks/new/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/guidebooks/new","Admin","admin","desktop + mobile required","input","14","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/guidebooks/new/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/guidebooks/new","Admin","admin","desktop + mobile required","select","5","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/guidebooks/new/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/guidebooks/new","Admin","admin","desktop + mobile required","button","2","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/guidebooks/new/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/inquiries","Admin","admin","desktop + mobile required","link","2","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/inquiries/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/inquiries","Admin","admin","desktop + mobile required","a","2","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/inquiries/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/inquiries/[id]","Admin","admin","desktop + mobile required","link","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/inquiries/[id]/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/inquiries/[id]","Admin","admin","desktop + mobile required","a","4","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/inquiries/[id]/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/inquiries/[id]","Admin","admin","desktop + mobile required","form","2","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/inquiries/[id]/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/inquiries/[id]","Admin","admin","desktop + mobile required","textarea","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/inquiries/[id]/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/inquiries/[id]","Admin","admin","desktop + mobile required","button","2","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/inquiries/[id]/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/inquiries/[id]","Admin","admin","desktop + mobile required","select","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/inquiries/[id]/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/integrations","Admin","admin","desktop + mobile required","link","3","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/integrations/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/integrations","Admin","admin","desktop + mobile required","a","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/integrations/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/integrations/[integrationId]","Admin","admin","desktop + mobile required","link","2","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/integrations/[integrationId]/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/internal-workspace","Admin","admin","desktop + mobile required","link","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/internal-workspace/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/learning","Admin","admin","desktop + mobile required","link","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/learning/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/learning/governance","Admin","admin","desktop + mobile required","link","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/learning/governance/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/learning/jobs","Admin","admin","desktop + mobile required","form","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/learning/jobs/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/learning/jobs","Admin","admin","desktop + mobile required","input","5","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/learning/jobs/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/learning/jobs","Admin","admin","desktop + mobile required","button","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/learning/jobs/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/offers/[offerId]","Admin","admin","desktop + mobile required","link","3","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/offers/[offerId]/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/offers/[offerId]","Admin","admin","desktop + mobile required","form","3","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/offers/[offerId]/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/offers/[offerId]","Admin","admin","desktop + mobile required","input","12","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/offers/[offerId]/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/offers/[offerId]","Admin","admin","desktop + mobile required","select","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/offers/[offerId]/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/offers/[offerId]","Admin","admin","desktop + mobile required","button","3","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/offers/[offerId]/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/offers/bundles/[bundleId]","Admin","admin","desktop + mobile required","link","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/offers/bundles/[bundleId]/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/offers/bundles/new","Admin","admin","desktop + mobile required","form","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/offers/bundles/new/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/offers/bundles/new","Admin","admin","desktop + mobile required","input","4","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/offers/bundles/new/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/offers/bundles/new","Admin","admin","desktop + mobile required","textarea","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/offers/bundles/new/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/offers/bundles/new","Admin","admin","desktop + mobile required","button","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/offers/bundles/new/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/offers/new","Admin","admin","desktop + mobile required","form","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/offers/new/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/offers/new","Admin","admin","desktop + mobile required","input","6","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/offers/new/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/offers/new","Admin","admin","desktop + mobile required","select","5","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/offers/new/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/offers/new","Admin","admin","desktop + mobile required","textarea","3","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/offers/new/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/offers/new","Admin","admin","desktop + mobile required","button","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/offers/new/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/offers/orders/[orderId]","Admin","admin","desktop + mobile required","link","2","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/offers/orders/[orderId]/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/offers/orders/[orderId]","Admin","admin","desktop + mobile required","form","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/offers/orders/[orderId]/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/offers/orders/[orderId]","Admin","admin","desktop + mobile required","input","2","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/offers/orders/[orderId]/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/offers/orders/[orderId]","Admin","admin","desktop + mobile required","button","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/offers/orders/[orderId]/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/properties","Admin","admin","desktop + mobile required","link","3","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/properties/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/properties","Admin","admin","desktop + mobile required","form","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/properties/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/properties","Admin","admin","desktop + mobile required","input","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/properties/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/properties","Admin","admin","desktop + mobile required","button","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/properties/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/properties/[id]","Admin","admin","desktop + mobile required","link","3","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/properties/[id]/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/properties/new","Admin","admin","desktop + mobile required","link","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/properties/new/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/reports","Admin","admin","desktop + mobile required","link","4","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/reports/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/reports/jobs","Admin","admin","desktop + mobile required","form","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/reports/jobs/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/reports/jobs","Admin","admin","desktop + mobile required","input","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/reports/jobs/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/reports/jobs","Admin","admin","desktop + mobile required","button","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/reports/jobs/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/approach","Public marketing / portal","anonymous or route-specific","desktop + mobile required","link","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(marketing)/approach/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/checkout/cancel","Commerce","anonymous or route-specific","desktop + mobile required","link","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(public)/checkout/cancel/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/checkout/success","Commerce","anonymous or route-specific","desktop + mobile required","link","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(public)/checkout/success/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/commerce/checkout/cancelled","Commerce","anonymous or route-specific","desktop + mobile required","link","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(commerce)/commerce/checkout/cancelled/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/dashboard","Customer dashboard","authenticated/entitled","desktop + mobile required","link","2","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(dashboard)/dashboard/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/dashboard/access","Customer dashboard","authenticated/entitled","desktop + mobile required","form","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(dashboard)/dashboard/access/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/dashboard/access","Customer dashboard","authenticated/entitled","desktop + mobile required","input","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(dashboard)/dashboard/access/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/dashboard/access","Customer dashboard","authenticated/entitled","desktop + mobile required","button","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(dashboard)/dashboard/access/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/dashboard/billing","Customer dashboard","authenticated/entitled","desktop + mobile required","form","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(dashboard)/dashboard/billing/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/dashboard/billing","Customer dashboard","authenticated/entitled","desktop + mobile required","button","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(dashboard)/dashboard/billing/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/dashboard/billing","Customer dashboard","authenticated/entitled","desktop + mobile required","a","2","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(dashboard)/dashboard/billing/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/dashboard/communications","Customer dashboard","authenticated/entitled","desktop + mobile required","link","5","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(dashboard)/dashboard/communications/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/dashboard/communications","Customer dashboard","authenticated/entitled","desktop + mobile required","form","2","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(dashboard)/dashboard/communications/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/dashboard/communications","Customer dashboard","authenticated/entitled","desktop + mobile required","input","2","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(dashboard)/dashboard/communications/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/dashboard/communications","Customer dashboard","authenticated/entitled","desktop + mobile required","select","6","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(dashboard)/dashboard/communications/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/dashboard/communications","Customer dashboard","authenticated/entitled","desktop + mobile required","button","2","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(dashboard)/dashboard/communications/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/dashboard/communications/[conversationId]","Customer dashboard","authenticated/entitled","desktop + mobile required","link","6","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(dashboard)/dashboard/communications/[conversationId]/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/dashboard/communications/[conversationId]","Customer dashboard","authenticated/entitled","desktop + mobile required","form","7","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(dashboard)/dashboard/communications/[conversationId]/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/dashboard/communications/[conversationId]","Customer dashboard","authenticated/entitled","desktop + mobile required","input","17","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(dashboard)/dashboard/communications/[conversationId]/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/dashboard/communications/[conversationId]","Customer dashboard","authenticated/entitled","desktop + mobile required","button","7","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(dashboard)/dashboard/communications/[conversationId]/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/dashboard/communications/[conversationId]","Customer dashboard","authenticated/entitled","desktop + mobile required","textarea","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(dashboard)/dashboard/communications/[conversationId]/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
